成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
天機丨太公望, 75, 13505226, 108, 9132, 0, 15915520, 108, 9132, 0, 13726, 河東, F組
獵犬, 4, 24730994, 0, 8185, 0, 28039509, 0, 8185, 0, 20070, 河東, B組
無雙丨尛, 1, 25055250, 0, 8799, 0, 28253242, 0, 8799, 0, 20370, 河東, A組
狼丨阿巴怪, 6, 20793285, 0, 8596, 0, 24075909, 0, 8596, 0, 18003, 河東, 資州門神
Sowut, 166, 490118, 0, 0, 0, 1439133, 0, 0, 0, 3132, 河北, F組
文山青茶, 28, 15679081, 0, 7668, 0, 18621068, 0, 7668, 0, 15633, 河東, B組
狼丨暈船仔, 81, 14603152, 0, 6636, 0, 17949324, 0, 6636, 0, 16253, 河東, C組
支援支援就好, 114, 7374503, 25, 5999, 0, 7374503, 25, 5999, 0, 13770, 河東, 九關門神
清嵐, 15, 6055832, 339, 9416, 0, 6279169, 339, 9416, 0, 9729, 河東, 資州門神
西八丨老婦人, 154, 5262653, 0, 2464, 0, 5309527, 0, 2464, 0, 9036, 河東, 九關門神
海賊丨綠油精, 90, 5147269, 0, 3268, 0, 5162745, 0, 3268, 0, 12326, 河東, 鋪路小隊
西八丨皮卡皮, 109, 4634641, 0, 5370, 0, 4713643, 0, 5370, 0, 11160, 河東, A組
西八丨策鎖, 161, 4260271, 0, 1344, 0, 5709160, 0, 1344, 0, 9966, 河東, 九關門神
海賊丨金將, 165, 174604, 0, 0, 0, 174604, 0, 0, 0, 4719, 河北, F組
八卦丨滴滴兒, 164, 27426, 0, 350, 0, 137715, 0, 350, 0, 1259, 河北, 鋪路小隊
瘋玖陳, 14, 38887129, 1, 4326, 0, 43213496, 1, 4326, 0, 19410, 河東, A組
批歪丨培根, 24, 32868718, 0, 7234, 0, 35831553, 0, 7234, 0, 18426, 河東, B組
北門城衛, 64, 31798970, 0, 7696, 0, 35270322, 0, 7696, 0, 18430, 河東, A組
宣颜, 49, 29529387, 0, 8983, 0, 32481775, 0, 8983, 0, 18050, 河東, C組
聖域の雲雲, 123, 28604932, 0, 4868, 0, 30872642, 0, 4868, 0, 21360, 河東, B組
聖域のMoM, 16, 28108849, 0, 4475, 0, 28238648, 0, 4475, 0, 19060, 河東, A組
司馬丨洛神, 36, 28041899, 0, 6594, 0, 30331916, 0, 6594, 0, 22770, 河東, B組
靈佬寺丶金童, 86, 27136012, 26, 6572, 0, 29566106, 26, 6572, 0, 19240, 河東, B組
海贼丨霸王, 10, 25625601, 0, 11780, 0, 25881525, 0, 11780, 0, 15206, 河東, A組
劍仔十八世, 20, 25183039, 0, 9249, 0, 28215290, 0, 9249, 0, 21509, 河東, A組
出木杉同學, 152, 24827578, 0, 2240, 0, 27540510, 0, 2240, 0, 19570, 河東, A組
劍丨莫問, 40, 23948628, 0, 7329, 0, 26323175, 0, 7329, 0, 16990, 河東, B組
龍匀, 25, 21823507, 0, 8019, 0, 23368152, 0, 8019, 0, 16676, 河東, B組
诸葛靖, 69, 21497147, 0, 6277, 0, 23904933, 0, 6277, 0, 14316, 河東, C組
这样一个人, 12, 21308721, 0, 6769, 0, 23125136, 0, 6769, 0, 15234, 河東, B組
樂正小谷, 103, 21269162, 0, 6836, 0, 23342409, 0, 6836, 0, 18159, 河東, B組
丨九紋龍丨, 105, 21055823, 5, 5811, 61277, 22787885, 5, 5811, 61277, 15420, 河東, B組
西八丨茗雪, 65, 20481439, 0, 8369, 0, 22192072, 0, 8719, 0, 18380, 河東, 九關門神
老夫人, 44, 20184159, 0, 8625, 0, 22585858, 0, 8625, 0, 14270, 河東, C組
雙煞丨白無常, 66, 19970522, 0, 9129, 0, 21598628, 0, 9129, 0, 18403, 河東, B組
山窮水盡, 7, 19907666, 0, 10804, 0, 21901641, 0, 10804, 0, 19480, 河東, B組
無双丨諦聽, 13, 19158723, 1, 9384, 81177, 20498270, 1, 9384, 81177, 17540, 河東, C組
光年之外, 47, 18855607, 1, 7483, 0, 21471630, 1, 7483, 0, 16896, 河東, B組
身輕如燕, 8, 18286269, 0, 7990, 0, 18486100, 0, 7990, 0, 14096, 河北, B組
雲來俠客, 2, 18245112, 0, 6659, 0, 18245112, 0, 6659, 0, 12153, 河東, B組
魅力十足, 98, 18224392, 0, 6124, 0, 20195858, 0, 6124, 0, 15896, 河東, B組
仙草丨不回家, 9, 17951488, 0, 9268, 0, 18054206, 0, 9268, 0, 13321, 河東, C組
Joker囧, 31, 17886791, 0, 8839, 0, 20948726, 0, 8839, 0, 15673, 河東, C組
雙煞丨黑無常, 43, 17699918, 1, 8577, 0, 19026221, 1, 8577, 0, 17576, 河東, B組
聚丨織田信長, 160, 17689593, 9, 1970, 0, 18198061, 9, 1970, 0, 15596, 河東, C組
Foden, 27, 17494708, 0, 8161, 0, 19623770, 0, 8161, 0, 17190, 河東, C組
