成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
司馬丨洛神, 23, 30975653, 3141, 10078, 0, 33265670, 3141, 10078, 0, 24433, 河東, B組
劍仔十八世, 31, 33948863, 0, 10822, 0, 36981114, 0, 10822, 0, 23200, 河東, A組
聖域の雲雲, 82, 34420121, 0, 7081, 0, 36687831, 0, 7081, 0, 23103, 河東, B組
靈佬寺丶金童, 66, 37074927, 4346, 8359, 0, 39505021, 4346, 8359, 0, 21706, 河東, B組
獵犬, 3, 31400923, 0, 10782, 0, 34709438, 0, 10782, 0, 21100, 河東, B組
山窮水盡, 11, 28596897, 0, 13357, 0, 30590872, 0, 13357, 0, 20946, 河東, B組
無雙丨尛, 1, 28987728, 0, 12209, 0, 32185720, 0, 12209, 0, 20773, 河東, A組
聖域のMoM, 7, 40902746, 7074, 5519, 0, 41032545, 7074, 5519, 0, 20120, 河東, A組
無雙丨小黑熊, 90, 14785509, 0, 3709, 0, 17015475, 0, 3709, 0, 19873, 河東, A組
西八丨茗雪, 72, 24633773, 1723, 11401, 0, 26344406, 1723, 11751, 0, 19650, 河東, 九關門神
出木杉同學, 135, 24827578, 0, 2240, 0, 27540510, 0, 2240, 0, 19570, 河東, A組
西八丨兔兔, 53, 24741245, 0, 11164, 0, 27174101, 0, 11164, 0, 19433, 河東, B組
批歪丨培根, 17, 40782797, 0, 9436, 0, 43745632, 0, 9436, 0, 19420, 河東, B組
狼丨阿巴怪, 13, 26737164, 4795, 11340, 0, 30019788, 4795, 11340, 0, 19403, 河東, 資州門神
仲孫骏琛, 61, 17444127, 7492, 2482, 0, 18050418, 7492, 2482, 0, 19160, 河東, C組
柒柒兒, 107, 19301217, 0, 6006, 0, 20214798, 0, 6006, 0, 19160, 河東, B組
诸葛靖, 57, 28765863, 2439, 8360, 0, 31173649, 2439, 8360, 0, 19060, 河東, C組
Foden, 12, 23530587, 0, 11029, 0, 25659649, 0, 11029, 0, 18973, 河東, C組
宣颜, 35, 36188202, 0, 12362, 0, 39140590, 0, 12362, 0, 18950, 河東, C組
狼丨暈船仔, 52, 23174291, 0, 8946, 0, 26520463, 0, 8946, 0, 18933, 河東, C組
Joker囧, 20, 25048580, 0, 12779, 0, 28110515, 0, 12779, 0, 18913, 河東, C組
皇丨源澤, 100, 20500122, 1321, 8952, 148842, 20500122, 1321, 8952, 148842, 18856, 河東, 九關門神
熊熊本家, 24, 23466535, 0, 10203, 0, 25144575, 0, 10203, 0, 18800, 河東, C組
光年之外, 69, 26477537, 1, 7936, 0, 29093560, 1, 7936, 0, 18770, 河東, B組
雙煞丨黑無常, 43, 20077668, 897, 11379, 0, 21403971, 897, 11379, 0, 18613, 河東, B組
北門城衛, 41, 38030573, 0, 10511, 0, 41501925, 0, 10511, 0, 18473, 河東, A組
雙煞丨白無常, 48, 22063119, 917, 12851, 0, 23691225, 917, 12851, 0, 18466, 河東, B組
無敵奶黃包, 30, 20918623, 0, 15777, 0, 23783055, 0, 15777, 0, 18433, 河東, 九關門神
