成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
天機丨太公望, 95, 1259649, 0, 0, 0, 47850255, 7719, 26677, 164389, 21419, 司隸, 天機海賊
獵犬, 3, 0, 0, 0, 0, 76686697, 95623, 20069, 164758, 26540, 司隸, 天機海賊
西八丨皮卡皮, 121, 547600, 0, 0, 0, 30638125, 20539, 19056, 939919, 15546, 司隸, 西八屁屁
無雙丨尛, 2, 172500, 0, 0, 0, 62562487, 84713, 30885, 714535, 29090, 司隸, 血流
狼丨阿巴怪, 13, 123381, 2468, 0, 0, 61217080, 104556, 24615, 452187, 27113, 司隸, 天機海賊
海賊丨金將, 144, 614208, 12259, 0, 0, 40871995, 23574, 4493, 282647, 25559, 司隸, 天機海賊
狼丨暈船仔, 25, 286045, 2527, 0, 0, 50741873, 80295, 20560, 467772, 22246, 司隸, 天機海賊
支援支援就好, 111, 0, 0, 0, 0, 33493340, 13742, 26653, 456565, 16670, 司隸, 血流
西八丨策鎖, 149, 0, 0, 35, 0, 19144938, 3908, 12601, 825093, 13439, 司隸, 西八屁屁
文山青茶, 22, 0, 0, 0, 0, 49403380, 61320, 18557, 165829, 19673, 司隸, 文青茶棧
Sowut, 179, 0, 0, 0, 0, 1439133, 0, 0, 0, 3132, 河北, 文青茶棧
海賊丨綠油精, 139, 0, 0, 0, 0, 31607060, 9781, 11348, 0, 17733, 司隸, 天機海賊
清嵐, 28, 0, 0, 0, 0, 17756807, 38913, 40705, 650585, 15925, 司隸, 天機海賊
西八丨老婦人, 162, 0, 0, 0, 0, 15410076, 293, 7423, 665692, 14769, 司隸, 西八屁屁
迷彩, 64, 2269283, 0, 0, 0, 67891387, 25413, 24403, 606829, 26050, 司隸, 血流
靈佬寺丶金童, 6, 1971654, 0, 0, 0, 99615316, 101825, 18599, 318602, 30730, 司隸, 天機海賊
熾羽翊, 52, 1946555, 0, 0, 0, 66877614, 36563, 30867, 713309, 23860, 司隸, 文青茶棧
段裕, 152, 1775302, 0, 35, 0, 40437608, 3796, 15208, 723320, 20800, 河東, 西八屁屁
魃丨讓妳漲潮, 138, 1401253, 0, 0, 0, 51733812, 16023, 9618, 0, 17853, 河東, 文青茶棧
太公望二世, 116, 1298890, 2, 0, 0, 64642720, 21604, 17009, 410087, 18163, 司隸, 血流
聚丨程堯, 20, 1190537, 0, 0, 0, 51783080, 48824, 25449, 618994, 22623, 司隸, 血流
圓圓固圓圓, 117, 1143519, 2571, 0, 0, 51118056, 17487, 15107, 572767, 23193, 司隸, 血流
西八丨西瓜, 87, 1138934, 3302, 0, 0, 41831086, 13756, 26758, 459350, 21739, 河東, 西八屁屁
王师丨打地上, 104, 1107286, 0, 0, 0, 24349506, 23569, 15234, 692943, 19560, 河東, 文青茶棧
魃丨讓妳受潮, 118, 1066546, 0, 0, 0, 52905801, 20432, 9288, 128964, 19923, 河東, 文青茶棧
劍仔十八世, 37, 984552, 0, 0, 0, 72851419, 52099, 25539, 640511, 28090, 司隸, 天機海賊
雲來俠客, 18, 978518, 2390, 0, 0, 75823888, 47956, 23664, 2687914, 21879, 司隸, 文青茶棧
燕丨家榮志豪, 34, 928925, 5074, 0, 0, 61715250, 96060, 10734, 573066, 16453, 司隸, 文青茶棧
夜讀出師表, 99, 901411, 2335, 0, 0, 56085266, 10585, 33911, 778756, 20026, 司隸, 西八屁屁
任我行丨行行, 47, 815544, 0, 0, 0, 47951715, 28300, 20162, 567590, 18663, 司隸, 西八屁屁
聖域のMoM, 8, 706298, 11044, 450, 0, 103877946, 103771, 17937, 123028, 28683, 司隸, 血流
