成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
西八丨風鈴草, 148, 205591, 0, 0, 0, 205591, 0, 0, 0, 740, 河北, F組
八卦丨滴滴兒, 144, 0, 0, 0, 0, 110289, 0, 0, 0, 1119, 河北, 鋪路小隊
八卦丨尖叫兒, 143, 449069, 0, 497, 0, 578071, 0, 497, 0, 1660, 河北, F組
怜怜兒, 118, 158155, 0, 2933, 0, 591779, 0, 2933, 0, 2353, 河北, 鋪路小隊
Sowut, 146, 490118, 0, 0, 0, 1439133, 0, 0, 0, 3132, 河北, F組
西八丨老婦人, 135, 1317263, 0, 1435, 0, 1364137, 0, 1435, 0, 3449, 河北, 九關門神
狠丨劉備, 117, 1150456, 0, 2848, 0, 1806563, 0, 2848, 0, 3780, 河北, C組
狼丨yu, 150, 599456, 0, 0, 0, 599456, 0, 0, 0, 3900, 河北, 鋪路小隊
音速河馬, 147, 1124877, 0, 700, 0, 1617293, 0, 700, 0, 4466, 河北, C組
DongDong, 69, 1440899, 0, 4269, 0, 2488934, 0, 4269, 0, 4866, 河北, B組
无知, 136, 1482739, 0, 892, 0, 1875578, 0, 892, 0, 4869, 河北, 資州門神
王文嫣, 125, 2740525, 0, 1610, 0, 3971244, 0, 1610, 0, 4870, 河北, F組
小海豹披薩, 121, 3890234, 0, 2760, 0, 4016198, 0, 2760, 0, 4880, 河北, C組
弒離, 109, 1121044, 0, 3640, 0, 1523795, 0, 3640, 0, 5099, 河北, 鋪路小隊
黑馬丨聖, 65, 736275, 0, 5859, 0, 851190, 0, 5859, 0, 5340, 河北, F組
大宇宙就是我, 15, 2772646, 0, 6508, 0, 4449708, 0, 6508, 0, 5349, 河北, C組
巨型擊霸, 149, 1501402, 0, 0, 0, 1501402, 0, 0, 0, 5463, 河北, F組
西八丨尾魚, 102, 859990, 0, 2486, 0, 2644745, 0, 2486, 0, 5743, 河北, F組
西八丨策鎖, 141, 848835, 0, 644, 0, 2297724, 0, 644, 0, 5783, 河北, 九關門神
吃飽再減肥, 140, 1038545, 0, 336, 0, 1038545, 0, 336, 0, 5973, 河北, 九關門神
董豆豆, 123, 4023857, 0, 2527, 0, 5114695, 0, 2527, 0, 6009, 河北, F組
聖域の七七, 115, 2132543, 0, 3451, 45640, 3212764, 0, 3451, 45640, 6033, 河北, C組
清嵐, 49, 1388440, 339, 5509, 0, 1611777, 339, 5509, 0, 6043, 河東, 資州門神
段裕, 130, 776142, 0, 1918, 0, 776142, 0, 1918, 0, 6126, 河北, C組
西八丨科爾鴨, 103, 1416979, 0, 288, 0, 5639723, 0, 288, 0, 6184, 河北, F組
孔晤, 70, 2164883, 0, 4700, 0, 3665894, 0, 4700, 0, 6200, 河北, C組
歐冶亭, 106, 2870353, 0, 4262, 0, 3042595, 0, 4262, 0, 6249, 河北, C組
海贼丨红豆, 11, 4222814, 104, 3584, 0, 6440881, 104, 3584, 0, 6270, 河北, C組
明也, 127, 2113233, 0, 700, 0, 2479310, 0, 700, 0, 6370, 河北, 九關門神
薪水不夠多, 92, 1258024, 0, 4392, 0, 1258024, 0, 4392, 0, 6498, 河北, B組
娃丨Zdx, 26, 5276581, 0, 5497, 0, 5543985, 0, 5497, 0, 6540, 河北, B組
無双丨史坦娜, 112, 3181843, 0, 3138, 0, 4372067, 0, 3138, 0, 6587, 河東, F組
明治光秀, 116, 2156692, 12, 2464, 0, 2435400, 12, 2464, 0, 6589, 河北, F組
包龍星, 120, 3161666, 0, 350, 0, 3700999, 0, 350, 0, 6700, 河北, F組
海賊豹魯哥, 60, 3592728, 0, 4293, 0, 3595867, 0, 4293, 0, 6706, 河北, 九關門神
員外, 142, 2295060, 0, 350, 0, 2589755, 0, 350, 0, 6740, 河北, C組
西八丨太曦, 96, 459597, 0, 2905, 0, 459597, 0, 2905, 0, 6789, 河北, 九關門神
雪月囧, 54, 3073567, 0, 5356, 0, 5535681, 0, 5356, 0, 6829, 河北, C組
哈囉丨靖, 57, 3707456, 0, 4634, 0, 3707456, 0, 4634, 0, 6912, 河北, 九關門神
WarCry, 82, 1210737, 0, 5602, 0, 2144304, 0, 5602, 0, 6920, 河北, 鋪路小隊
瑋王, 131, 2797797, 0, 1826, 0, 3374454, 0, 1826, 0, 6956, 河北, C組
西八丨芙莉蓮, 108, 3754273, 0, 2296, 0, 5857468, 0, 2296, 0, 7020, 河北, C組
批歪丨清風, 52, 3295225, 0, 5601, 0, 5004573, 0, 5601, 0, 7053, 河北, F組
八卦丨羊羊兒, 122, 3041517, 0, 2494, 0, 4441797, 0, 2494, 0, 7076, 河北, 資州門神
仲孫骏琛, 100, 3406354, 0, 958, 0, 4012645, 0, 958, 0, 7123, 河北, C組
西八丨皮卡皮, 61, 1794539, 0, 5020, 0, 1873541, 0, 5020, 0, 7132, 河北, A組
粉家軍丨楓, 94, 1985526, 0, 2789, 0, 1985526, 0, 2789, 0, 7200, 河北, F組
風雨雙修, 12, 4089268, 0, 5524, 0, 4089268, 0, 5524, 0, 7289, 河北, C組
無双丨王騎, 81, 3639005, 0, 4324, 0, 4753539, 0, 4324, 0, 7335, 河北, A組
燕丨家榮志豪, 99, 2351223, 0, 952, 0, 2356905, 0, 952, 0, 7350, 河北, C組
西八丨止水, 40, 4286345, 0, 5236, 0, 6289904, 0, 5236, 0, 7536, 河北, C組
仇恨天, 38, 2950584, 0, 3501, 0, 2950584, 0, 3501, 0, 7560, 河北, C組
西八丨茗雪, 32, 4829223, 0, 4856, 0, 6539856, 0, 5206, 0, 7583, 河北, 九關門神
圓圓固圓圓, 129, 2362033, 0, 2108, 0, 2362033, 0, 2108, 0, 7603, 河北, A組
苦行僧, 39, 1498666, 11, 3624, 0, 1498666, 11, 3624, 0, 7603, 河北, B組
上官飛燕, 91, 2259244, 0, 4067, 0, 2259244, 0, 4067, 0, 7652, 河北, C組
海贼丨虫崽崽, 86, 3374578, 0, 4536, 0, 3374578, 0, 4536, 0, 7680, 河北, F組
批歪丨阿順, 33, 3646303, 0, 5826, 0, 3999815, 0, 5826, 0, 7720, 河北, C組
夜讀出師表, 62, 4844156, 0, 5298, 0, 4844156, 0, 5298, 0, 7783, 河北, C組
雲來俠客, 16, 6333104, 0, 3271, 0, 6333104, 0, 3271, 0, 7846, 河北, B組
魔彈射手, 73, 2333976, 0, 4516, 0, 3684234, 0, 4516, 0, 7892, 河北, C組
子無, 31, 1401012, 0, 5272, 0, 3118545, 0, 5272, 0, 8009, 河北, 鋪路小隊
阿良, 88, 3487044, 0, 4816, 0, 4645400, 0, 4816, 0, 8009, 河北, C組
力宏敢, 137, 3550753, 0, 986, 11882, 4220302, 0, 986, 11882, 8080, 河北, B組
尼姆, 67, 2568872, 0, 4620, 0, 4940002, 0, 4620, 0, 8120, 河北, B組
高原, 51, 5244910, 0, 7116, 0, 6327876, 0, 7116, 0, 8138, 河北, C組
蒙古包, 50, 1330771, 0, 5524, 0, 1330771, 0, 5524, 0, 8183, 河北, B組
工無不克, 98, 3413160, 0, 4864, 0, 4882204, 0, 4864, 0, 8206, 河北, 資州門神
支援支援就好, 111, 1203780, 25, 3486, 0, 1203780, 25, 3486, 0, 8378, 河北, 九關門神
呆腦獸, 22, 4056043, 532, 4745, 0, 4056043, 532, 4745, 0, 8380, 河北, C組
文山青茶, 30, 4654839, 0, 5019, 0, 7596826, 0, 5019, 0, 8460, 河北, B組
天機丨天相, 95, 2009163, 0, 3982, 0, 2009163, 0, 3982, 0, 8492, 河北, 資州門神
北屯曹孟德, 126, 3080040, 0, 2380, 0, 4677762, 0, 2380, 0, 8526, 河北, C組
任我行丨行行, 83, 2574118, 0, 4501, 0, 4192154, 0, 4501, 0, 8566, 河北, B組
Wei, 133, 1935525, 0, 1031, 0, 1935525, 0, 1031, 0, 8573, 河北, B組
RR, 77, 3672395, 0, 4891, 0, 3972383, 0, 4891, 0, 8750, 河北, C組
克萊兒, 71, 3350423, 1, 5885, 0, 4396370, 1, 5885, 0, 8753, 河北, B組
皇丨源澤, 104, 2763366, 0, 3636, 0, 2763366, 0, 3636, 0, 8886, 河北, 九關門神
莫那泰雅, 128, 2416153, 0, 2208, 0, 2677186, 0, 2208, 0, 9059, 河北, B組
西八丨西瓜, 110, 3951135, 17, 3521, 0, 3951135, 17, 3521, 0, 9089, 河北, C組
Joker囧, 25, 5698777, 0, 5308, 0, 8760712, 0, 5308, 0, 9103, 河北, C組
書童, 2, 3765908, 0, 5236, 0, 5740124, 0, 5236, 0, 9160, 河北, C組
