成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組,,,成員, 戰功總量,, 助攻總量,
Corvinus,104,25504427,5669,15745,408791,31794257,6559,19431,408791,19703, 河東, 血流,,TRUE,Corvinus,8445,7555,19431,15745
DongDong,86,23060989,8604,14179,565623,34492591,8604,22796,565623,13106, 司隸, 血流,,TRUE,DongDong,13737,13737,22796,14179
Foden,7,33239801,97342,10185,182156,59709900,97342,21284,182156,25176, 司隸, 文青茶棧,,TRUE,Foden,118206,118206,21284,10185
Joker囧,15,25459504,48297,20699,42601,53767215,48297,33478,42601,25110, 河東, 西八屁屁,,TRUE,Joker囧,64965,64965,33478,20699
Nok,43,33835621,37648,12129,637680,52281249,39291,24010,637680,22840, 司隸, 血流,,TRUE,Nok,52171,50528,24010,12129
RR,106,44815629,8971,15850,261268,59821121,8971,26030,261268,21040, 司隸, 西八屁屁,,TRUE,RR,14446,14446,26030,15850
RyanCats,139,32333635,9986,3967,588466,50810086,9986,5851,588466,23290, 河東, 西八屁屁,,TRUE,RyanCats,19396,19396,5851,3967
Sowut,179,0,0,0,0,1439133,0,0,0,3132, 河北, 文青茶棧,,TRUE,Sowut,0,0,0,0
WarCry,129,7942672,643,8479,1215329,12945617,643,20271,1215329,14161, 河東, 血流,,TRUE,WarCry,4540,4540,20271,8479
Wei,138,33432139,13743,4619,540682,45652064,13743,8298,540682,19500, 河東, 文青茶棧,,TRUE,Wei,19580,19580,8298,4619
一條根王,90,36175723,13298,13118,570656,58100942,13298,22808,570656,21582, 司隸, 西八屁屁,,TRUE,一條根王,22663,22663,22808,13118
一顆石頭,33,39138610,62768,11310,484098,39138610,62768,11310,484098,27900, 司隸, 西八屁屁,,TRUE,一顆石頭,84766,84766,11310,11310
丨九紋龍丨,69,36742410,13820,13176,188130,65459425,15586,20909,249407,23460, 司隸, 文青茶棧,,TRUE,丨九紋龍丨,21383,19617,20909,13176
八卦丨玉玉兒,121,13319661,21889,4320,546744,22665015,21889,5370,546744,17210, 司隸, 天機海賊,,TRUE,八卦丨玉玉兒,28632,28632,5370,4320
