成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
Sowut, 172, 0, 0, 0, 0, 1439133, 0, 0, 0, 3132, 河北, F組
巴士歐起來, 170, 5287901, 0, 0, 0, 5296178, 0, 0, 0, 13650, 河東, 未分組
巨型擊霸, 166, 3426281, 0, 0, 0, 6971194, 0, 0, 0, 11879, 河東, F組
林伯, 169, 2111659, 0, 0, 0, 2111659, 0, 0, 0, 12673, 河東, 未分組
宇髓天元, 134, 12643112, 0, 0, 0, 29594046, 0, 1400, 0, 18043, 河東, F組
音速河馬, 173, 2284946, 0, 0, 0, 10822432, 0, 700, 0, 7918, 河北, C組
卍正卍, 168, 1040339, 0, 0, 0, 1408067, 0, 0, 0, 4765, 河東, 未分組
柳逸天下, 171, 7, 0, 0, 0, 7, 0, 0, 0, 1703, 河北, 未分組
抹茶天授, 174, 1852873, 0, 350, 0, 1852873, 0, 350, 0, 11330, 河北, 未分組
西八丨尾魚, 151, 270329, 0, 633, 0, 7018177, 0, 3119, 0, 6153, 河東, F組
八卦丨尖叫兒, 164, 876053, 6, 1017, 0, 5151013, 6, 2214, 0, 3593, 河東, F組
黑馬丨聖, 149, 1505979, 0, 1050, 0, 3974863, 0, 8239, 0, 7679, 河東, F組
魅力十足, 140, 13947947, 0, 1050, 0, 40110721, 0, 7524, 0, 17203, 河東, B組
海賊丨金將, 167, 9770485, 0, 1103, 0, 11975044, 0, 1453, 0, 15486, 河東, F組
力宏敢, 148, 10679303, 0, 1260, 0, 25997121, 64, 2549, 11882, 16530, 河東, B組
柒柒兒, 136, 12251815, 0, 1388, 0, 32466613, 0, 7394, 0, 20770, 河東, B組
海賊丨鎖聾, 158, 6930746, 0, 1509, 0, 10057767, 44, 3538, 0, 14220, 河東, B組
无知, 157, 2817422, 0, 1640, 0, 9451005, 0, 4523, 0, 11032, 河東, 資州門神
娃丨Zdx, 102, 5086323, 0, 1650, 0, 20784476, 0, 13164, 0, 11843, 司隸, B組
明治光秀, 160, 6555265, 0, 1705, 0, 15590813, 12, 4169, 0, 17923, 河東, F組
Wei, 142, 15530767, 0, 2119, 0, 27750692, 0, 5798, 0, 16400, 河東, B組
一顆石頭, 92, 9604777, 78, 2149, 0, 9604777, 78, 2149, 0, 20326, 河東, 未分組
聖域の雲雲, 63, 21427527, 0, 2203, 0, 58967550, 0, 9284, 0, 24880, 河東, B組
員外, 154, 7524938, 0, 2214, 0, 18645262, 0, 3173, 0, 16823, 河東, C組
包龍星, 143, 8098865, 0, 2217, 0, 26877873, 48, 3267, 0, 14563, 河東, F組
通天飛賊, 137, 11253076, 0, 2369, 0, 34601839, 0, 7492, 0, 16649, 河東, B組
西八丨風鈴草, 165, 1064, 0, 2427, 0, 546612, 0, 2427, 0, 820, 河北, F組
方唐鏡, 156, 4977211, 0, 2463, 0, 10866159, 0, 2813, 0, 7460, 河東, F組
西八丨潑猴, 146, 848446, 0, 2495, 0, 1471567, 0, 5669, 0, 7209, 河東, F組
RyanCats, 129, 11622607, 1, 2586, 0, 30099058, 1, 4470, 0, 18435, 河東, 鋪路小隊
八卦丨玉玉兒, 127, 5707766, 0, 2770, 0, 15053120, 0, 3820, 0, 17652, 河東, C組
西八丨老婦人, 150, 998700, 0, 2796, 0, 6811369, 0, 5260, 0, 11630, 河東, 九關門神
悟空我大佬, 144, 4912721, 0, 2966, 0, 9494289, 0, 3666, 0, 13496, 河東, B組
司馬丨洛神, 37, 9010931, 0, 2980, 0, 42661516, 3141, 13058, 0, 26083, 司隸, B組
WarCry, 122, 3586561, 0, 3065, 0, 8589506, 0, 14857, 0, 12792, 河東, 鋪路小隊
出木杉同學, 145, 19801997, 0, 3079, 0, 49233025, 0, 5319, 0, 20953, 河東, A組
仙草丨不回家, 64, 6610817, 0, 3119, 0, 29964414, 4216, 14137, 0, 16600, 河東, C組
吃飽再減肥, 133, 8805400, 0, 3224, 0, 18540229, 0, 5112, 0, 14100, 河東, 九關門神
聚丨織田信長, 163, 22649540, 0, 3278, 0, 45455937, 9, 5598, 0, 20896, 河東, C組
Nok, 73, 10812804, 0, 3286, 0, 29258432, 1643, 15167, 0, 18190, 河東, C組
瘋玖陳, 16, 11104547, 2, 3334, 0, 61524562, 3, 3334, 0, 21963, 司隸, A組
呆腦獸, 95, 17901999, 0, 3480, 0, 40482736, 1588, 14318, 0, 19892, 河東, C組
太公望二世, 116, 10893551, 0, 3523, 0, 31945414, 0, 11769, 0, 16919, 河東, 九關門神
尼姆, 111, 8907490, 0, 3525, 0, 26097801, 2994, 12092, 0, 15680, 河東, B組
海賊丨薩勃, 155, 5211459, 0, 3605, 0, 10027783, 0, 4910, 0, 13973, 河東, B組
狠丨劉備, 109, 5207776, 0, 3724, 0, 12618388, 0, 13347, 0, 13650, 司隸, C組
狼丨暈船仔, 34, 7578431, 0, 3763, 0, 35552878, 0, 12709, 0, 18176, 司隸, C組
魃丨讓妳受潮, 97, 12016523, 0, 3766, 0, 36311726, 49, 8588, 0, 18123, 河東, 資州門神
凜丨打菜, 161, 6644109, 0, 3829, 0, 11549348, 0, 4501, 0, 14303, 河東, F組
聖域の七七, 123, 1547098, 0, 3856, 1295582, 11209571, 15, 10648, 1725855, 14153, 河東, C組
文山青茶, 9, 14868997, 1436, 3864, 0, 40326005, 2198, 13905, 0, 17239, 司隸, B組
明也, 120, 2681875, 0, 3872, 0, 13239705, 277, 5692, 0, 13520, 司隸, 九關門神
天機丨貪狼, 126, 5668701, 0, 3907, 0, 11134424, 0, 7692, 0, 10906, 河東, 資州門神
儒丨皇儒無上, 47, 9276228, 0, 3987, 0, 32175476, 0, 13265, 0, 18670, 河東, A組
弒離, 130, 3570104, 0, 4079, 0, 9356778, 1498, 12186, 0, 12913, 河東, 鋪路小隊
仲孫骏琛, 54, 6794433, 0, 4240, 0, 24845601, 7492, 6722, 0, 21333, 河東, C組
海賊豹魯哥, 115, 10157642, 0, 4284, 0, 23211996, 141, 11341, 0, 15553, 河東, 九關門神
聖域のMoM, 10, 20717395, 148, 4325, 0, 63236015, 7222, 9844, 0, 22423, 河東, A組
段裕, 138, 6272755, 0, 4598, 0, 12421439, 0, 9444, 0, 16009, 河東, C組
皇甫昊天, 159, 7662435, 0, 4619, 0, 14184892, 0, 5070, 0, 17096, 河東, C組
西八丨芙莉蓮, 141, 12019410, 0, 4619, 0, 32368359, 0, 8826, 0, 19256, 河東, C組
劍丨莫問, 66, 22447538, 0, 4674, 0, 53017792, 0, 13484, 0, 19886, 河東, B組
燕丨家榮志豪, 83, 21956733, 3025, 4716, 0, 43842181, 12921, 8593, 0, 16219, 河東, C組
虎盡金來, 152, 4718369, 0, 4732, 0, 8326232, 199, 5950, 0, 13960, 河東, C組
無双丨射波師, 50, 26673461, 0, 4739, 0, 54349890, 0, 14329, 0, 18920, 河東, C組
魃丨讓妳漲潮, 128, 15165381, 0, 4796, 0, 31847088, 0, 8716, 0, 16553, 河東, 資州門神
夏侯同, 132, 9735477, 0, 4884, 0, 18205193, 0, 8617, 0, 15436, 河東, C組
王师丨打地上, 139, 6192202, 0, 4887, 0, 9487943, 0, 6127, 0, 15290, 河東, 未分組
一條根王, 84, 16912143, 0, 5036, 0, 38837362, 0, 14726, 0, 17707, 河東, B組
海贼丨虫崽崽, 12, 3116386, 0, 5097, 0, 22231455, 0, 14419, 0, 17420, 河東, C組
海賊丨綠油精, 110, 9814037, 18, 5099, 0, 17876882, 18, 10099, 0, 16289, 司隸, 鋪路小隊
老夫人, 26, 10779076, 0, 5128, 0, 41401111, 643, 15251, 0, 15190, 河東, C組
光年之外, 85, 28460690, 0, 5144, 0, 58709014, 1, 13080, 0, 21539, 河東, B組
聖域の爽哥, 124, 11675885, 0, 5153, 0, 20358838, 299, 9989, 0, 17336, 河東, B組
高陽璿, 153, 8773824, 0, 5220, 0, 10425931, 0, 5570, 0, 13343, 河東, C組
夜不凡, 56, 10539999, 0, 5222, 0, 28261100, 4702, 14815, 0, 19543, 河東, B組
项羽, 162, 2876961, 0, 5229, 0, 4181659, 0, 6929, 0, 10340, 河東, F組
诸葛靖, 72, 17783292, 0, 5295, 0, 50078237, 2439, 13655, 0, 24293, 河東, C組
批歪丨清風, 87, 10127691, 0, 5301, 0, 23542962, 0, 15011, 0, 15773, 河東, F組
熊熊本家, 18, 10288849, 0, 5403, 0, 36363778, 0, 15606, 0, 21033, 河東, C組
海贼丨红豆, 68, 11570802, 0, 5410, 0, 22275395, 104, 14285, 0, 11030, 河東, 九關門神
塵Rigan, 117, 5503361, 0, 5500, 0, 10856370, 0, 9329, 0, 12526, 河東, 九關門神
西八丨策鎖, 135, 2631509, 0, 5512, 0, 10893658, 728, 9447, 0, 12726, 河東, 九關門神
聚丨程堯, 27, 13092702, 0, 5564, 0, 31755043, 316, 16797, 0, 17310, 司隸, 九關門神
身輕如燕, 22, 13991067, 0, 5589, 0, 38551233, 2474, 14834, 0, 16816, 司隸, B組
莫那泰雅, 147, 4779922, 0, 5619, 0, 16048461, 2, 10756, 0, 14659, 河東, B組
