成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
天機丨太公望, 47, 10748220, 0, 10769, 164389, 32398054, 108, 21988, 164389, 18226, 司隸, 天機海賊
獵犬, 3, 18612495, 4167, 6365, 0, 54504156, 4167, 17147, 0, 23213, 司隸, 天機海賊
西八丨皮卡皮, 110, 3751838, 2925, 9170, 939919, 12451717, 2925, 16822, 939919, 14760, 河東, 西八屁屁
Sowut, 174, 0, 0, 0, 0, 1439133, 0, 0, 0, 3132, 河北, 文青茶棧
文山青茶, 13, 15535941, 6531, 4214, 30376, 40992949, 7293, 14255, 30376, 17673, 司隸, 文青茶棧
海賊丨金將, 169, 11882237, 0, 1103, 121284, 14086796, 0, 1453, 121284, 17092, 河東, 天機海賊
狼丨阿巴怪, 19, 11816901, 5104, 5734, 122417, 42851214, 9899, 17074, 122417, 22163, 司隸, 天機海賊
海賊丨綠油精, 112, 10325920, 18, 5449, 0, 18388765, 18, 10449, 0, 16916, 司隸, 天機海賊
狼丨暈船仔, 26, 8482772, 8563, 4463, 134885, 36457219, 8563, 13409, 134885, 19033, 司隸, 天機海賊
支援支援就好, 90, 6380258, 0, 8114, 0, 15748157, 25, 18499, 0, 15670, 河東, 血流
清嵐, 22, 3504400, 1710, 11799, 151599, 11074077, 2049, 29695, 151599, 13139, 司隸, 天機海賊
西八丨策鎖, 133, 3450400, 573, 6114, 825093, 11712549, 1301, 10049, 825093, 12743, 司隸, 西八屁屁
西八丨老婦人, 151, 998700, 0, 2796, 0, 6811369, 0, 5260, 0, 11630, 河東, 西八屁屁
光年之外, 57, 30045808, 7941, 5494, 168963, 60294132, 7942, 13430, 168963, 20819, 司隸, 未分組
無双丨射波師, 46, 28596278, 0, 5439, 135645, 56272707, 0, 15029, 135645, 19680, 河東, 文青茶棧
北門城衛, 41, 26447818, 1627, 8118, 142247, 68582707, 1627, 18629, 142247, 23220, 司隸, 文青茶棧
聖域のMoM, 4, 26074767, 18000, 4677, 123028, 68593387, 25074, 10196, 123028, 22826, 司隸, 血流
聚丨織田信長, 165, 24907187, 0, 3278, 0, 47713584, 9, 5598, 0, 21573, 河東, 血流
聖域の雲雲, 67, 24873525, 0, 3251, 0, 62413548, 0, 10332, 0, 27013, 司隸, 血流
劍丨莫問, 71, 24473555, 0, 4674, 121150, 55043809, 0, 13484, 121150, 19886, 河東, 未分組
陶長秋, 73, 23820199, 682, 7030, 126485, 45392522, 682, 18373, 126485, 17329, 河東, 血流
靈佬寺丶金童, 10, 23588740, 14016, 5888, 125781, 63730817, 18362, 14247, 125781, 23200, 司隸, 天機海賊
