成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
天機丨太公望, 55, 8499106, 0, 6984, 0, 30148940, 108, 18203, 0, 17223, 河東, F組
獵犬, 4, 12615971, 0, 5315, 0, 48507632, 0, 16097, 0, 21930, 河東, B組
狼丨阿巴怪, 32, 10572378, 0, 5163, 0, 41606691, 4795, 16503, 0, 23840, 河東, 資州門神
無雙丨尛, 1, 4969716, 0, 9834, 0, 38439252, 0, 22043, 0, 20640, 河東, A組
Sowut, 171, 0, 0, 0, 0, 1439133, 0, 0, 0, 3132, 河北, F組
文山青茶, 12, 9214228, 0, 3514, 0, 34671236, 762, 13555, 0, 18030, 河東, B組
海賊丨綠油精, 107, 8087947, 0, 4749, 0, 16150792, 0, 9749, 0, 15957, 河東, 鋪路小隊
狼丨暈船仔, 30, 7092043, 0, 3662, 0, 35066490, 0, 12608, 0, 19133, 河東, C組
海賊丨金將, 167, 5913833, 0, 753, 0, 8118392, 0, 1103, 0, 11408, 河東, F組
支援支援就好, 80, 4032491, 0, 7764, 0, 13400390, 25, 18149, 0, 14550, 河東, 九關門神
清嵐, 16, 2372780, 0, 9951, 0, 9942457, 339, 27847, 0, 12514, 河東, 資州門神
西八丨皮卡皮, 111, 1966801, 0, 8820, 0, 10666680, 0, 16472, 0, 14290, 河東, A組
西八丨老婦人, 149, 998700, 0, 2796, 0, 6811369, 0, 5260, 0, 11630, 河東, 九關門神
西八丨策鎖, 134, 608932, 0, 5512, 0, 8871081, 728, 9447, 0, 12526, 河東, 九關門神
無双丨射波師, 67, 22506166, 0, 4389, 0, 50182595, 0, 13979, 0, 18820, 河東, C組
靈佬寺丶金童, 23, 20636112, 0, 5324, 0, 60778189, 4346, 13683, 0, 23510, 河東, B組
光年之外, 86, 18847704, 0, 5144, 0, 49096028, 1, 13080, 0, 21556, 河東, B組
批歪丨培根, 26, 17084658, 0, 5897, 0, 61865235, 0, 15333, 0, 19930, 河東, B組
燕丨家榮志豪, 93, 16397463, 3025, 3881, 0, 38282911, 12921, 7758, 0, 16205, 河東, C組
聖域の雲雲, 60, 15212350, 0, 2203, 0, 52752373, 0, 9284, 0, 24660, 河東, B組
聖域のMoM, 10, 15200807, 0, 4325, 0, 57719427, 7074, 9844, 0, 21423, 河東, A組
雲來俠客, 6, 14946374, 22, 5979, 0, 39161332, 35, 15135, 0, 17485, 河東, B組
北門城衛, 44, 14650849, 0, 7786, 0, 56785738, 0, 18297, 0, 20950, 河東, A組
西八丨兔兔, 33, 14474044, 0, 5910, 0, 43544681, 207, 17074, 0, 22283, 河東, B組
風雨雙修, 40, 14051172, 0, 10033, 0, 29843327, 165, 20815, 0, 15360, 河東, B組
無双丨王騎, 14, 13504356, 1645, 6154, 0, 40344306, 6947, 16995, 0, 18240, 河東, A組
陶長秋, 72, 13305561, 0, 6306, 0, 34877884, 0, 17649, 0, 16253, 河東, B組
出木杉同學, 142, 13302211, 0, 3079, 0, 42733239, 0, 5319, 0, 21590, 河東, A組
山窮水盡, 5, 13203049, 0, 10295, 0, 44362485, 0, 23652, 0, 22140, 河東, B組
呆腦獸, 89, 12555331, 0, 3445, 0, 35136068, 1588, 14283, 0, 19819, 河東, C組
劍丨莫問, 68, 12374777, 0, 4674, 0, 42945031, 0, 13484, 0, 19906, 河東, B組
聚丨織田信長, 163, 12306075, 0, 3278, 0, 35112472, 9, 5598, 0, 19912, 河東, C組
海贼丨霸王, 3, 11981740, 0, 7594, 0, 46434800, 2794, 22054, 0, 17783, 河東, A組
龍匀, 27, 11799450, 0, 6839, 0, 44855610, 0, 16945, 0, 20160, 河東, B組
聚丨程堯, 22, 11783801, 0, 5214, 0, 30446142, 316, 16447, 0, 17700, 河東, 九關門神
诸葛靖, 83, 11763928, 0, 5295, 0, 44058873, 2439, 13655, 0, 22933, 河東, C組
身輕如燕, 19, 11458259, 0, 5493, 0, 36018425, 2474, 14738, 0, 17666, 河北, B組
Foden, 24, 11389051, 4, 5466, 0, 37859150, 4, 16565, 0, 20468, 河東, C組
董豆豆, 34, 11236094, 0, 4996, 0, 29617358, 0, 9916, 0, 17643, 河東, B組
樂正小谷, 94, 11106018, 0, 7585, 0, 40591747, 0, 15121, 0, 20340, 河東, B組
魅力十足, 143, 11026471, 0, 350, 0, 37189245, 0, 6824, 0, 17180, 河東, B組
劍仔十八世, 42, 10784215, 0, 6148, 0, 49305299, 0, 16970, 0, 23310, 河東, A組
薪水不夠多, 88, 10451844, 0, 8488, 0, 21147203, 0, 16901, 0, 13933, 河東, B組
蒙古包, 61, 10401407, 0, 6859, 0, 23778861, 786, 19211, 0, 17600, 河東, B組
一條根王, 81, 10332683, 0, 4686, 0, 32257902, 0, 14376, 0, 18723, 河東, B組
夜讀出師表, 78, 10087870, 0, 6768, 0, 28884613, 0, 17729, 0, 18699, 河東, 九關門神
仇恨天, 7, 10011220, 0, 10077, 0, 32061878, 0, 19671, 0, 16590, 河東, B組
歐陽燁, 48, 10009489, 0, 5539, 0, 32378414, 133, 14242, 0, 16420, 河東, C組
無双丨諦聽, 9, 9984541, 0, 7673, 0, 36926420, 1, 20574, 81177, 21870, 河東, C組
Joker囧, 25, 9925241, 0, 8467, 0, 38232952, 0, 21246, 0, 22160, 河東, C組
迷彩, 106, 9895118, 0, 6943, 0, 26366966, 0, 12348, 102980, 17483, 河東, C組
哈囉丨靖, 28, 9701924, 0, 8784, 0, 32725990, 1394, 20633, 0, 18590, 河東, 九關門神
歐冶亭, 90, 9601541, 0, 6218, 0, 28594287, 0, 14154, 0, 16840, 河東, C組
RR, 96, 9569026, 0, 7258, 0, 24574518, 0, 17438, 0, 16750, 河東, C組
瘋玖陳, 20, 9374911, 0, 3132, 0, 59794926, 1, 3132, 0, 23360, 河東, A組
聖域の爽哥, 127, 8928695, 0, 4803, 0, 17611648, 299, 9639, 0, 16703, 河東, B組
