成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
天機丨太公望, 78, 5484116, 0, 2356, 0, 27133950, 108, 13575, 0, 16786, 河東, F組
獵犬, 8, 10098425, 0, 1808, 0, 45990086, 0, 12590, 0, 21910, 河東, B組
狼丨阿巴怪, 17, 4729953, 0, 1966, 0, 35764266, 4795, 13306, 0, 20882, 河東, 資州門神
無雙丨尛, 1, 3822546, 0, 3553, 0, 37292082, 0, 15762, 0, 20810, 河東, A組
Sowut, 169, 0, 0, 0, 0, 1439133, 0, 0, 0, 3132, 河北, F組
文山青茶, 13, 6003751, 0, 1526, 0, 31460759, 762, 11567, 0, 17830, 河東, B組
海賊丨綠油精, 94, 5368508, 0, 2643, 0, 13431353, 0, 7643, 0, 15797, 河東, 鋪路小隊
狼丨暈船仔, 35, 4010840, 0, 2170, 0, 31985287, 0, 11116, 0, 19010, 河東, C組
海賊丨金將, 162, 3866537, 0, 444, 0, 6071096, 0, 794, 0, 9951, 河東, F組
西八丨皮卡皮, 115, 1964958, 0, 3489, 0, 10664837, 0, 11141, 0, 14130, 河東, A組
支援支援就好, 85, 1483142, 0, 3062, 0, 10851041, 25, 13447, 0, 14110, 河東, 九關門神
清嵐, 15, 1428872, 0, 2790, 0, 8998549, 339, 20686, 0, 11331, 河東, 資州門神
西八丨老婦人, 149, 994380, 0, 700, 0, 6807049, 0, 3164, 0, 11590, 河東, 九關門神
西八丨策鎖, 144, 604680, 0, 2079, 0, 8866829, 728, 6014, 0, 12506, 河東, 九關門神
無双丨射波師, 79, 14067016, 0, 2281, 0, 41743445, 0, 11871, 0, 18720, 河東, C組
靈佬寺丶金童, 29, 12991511, 0, 2248, 0, 53133588, 4346, 10607, 0, 23510, 河東, B組
批歪丨培根, 30, 12321331, 0, 2121, 0, 57101908, 0, 11557, 0, 19910, 河東, B組
燕丨家榮志豪, 97, 11867724, 0, 2251, 0, 33753172, 9896, 6128, 0, 16199, 河東, C組
雲來俠客, 2, 10892879, 22, 1966, 0, 35107837, 35, 11122, 0, 17566, 河東, B組
聖域のMoM, 5, 10855561, 0, 1290, 0, 53374181, 7074, 6809, 0, 21423, 河東, A組
北門城衛, 53, 10486860, 0, 3165, 0, 52621749, 0, 13676, 0, 19590, 河東, A組
光年之外, 81, 9897624, 0, 2434, 0, 40145948, 1, 10370, 0, 21363, 河東, B組
西八丨兔兔, 66, 9863854, 0, 2585, 0, 38934491, 207, 13749, 0, 22143, 河東, B組
陶長秋, 62, 9439948, 0, 2135, 0, 31012271, 0, 13478, 0, 15853, 河東, B組
出木杉同學, 140, 9244588, 0, 1474, 0, 38675616, 0, 3714, 0, 21590, 河東, A組
風雨雙修, 39, 9077308, 0, 3638, 0, 24869463, 165, 14420, 0, 14923, 河東, B組
聚丨織田信長, 164, 8785463, 0, 646, 0, 31591860, 9, 2966, 0, 19549, 河東, C組
山窮水盡, 7, 8744623, 0, 3772, 0, 39904059, 0, 17129, 0, 21820, 河東, B組
诸葛靖, 76, 8552029, 0, 1719, 0, 40846974, 2439, 10079, 0, 20353, 河東, C組
劍仔十八世, 26, 8216629, 0, 2844, 0, 46737713, 0, 13666, 0, 23296, 河東, A組
聖域の雲雲, 82, 8064694, 0, 848, 0, 45604717, 0, 7929, 0, 24340, 河東, B組
仇恨天, 4, 8044498, 0, 3579, 0, 30095156, 0, 13173, 0, 16730, 河東, B組
董豆豆, 42, 7664517, 0, 2084, 0, 26045781, 0, 7004, 0, 17603, 河東, B組
無双丨諦聽, 11, 7613000, 0, 2734, 0, 34554879, 1, 15635, 81177, 21570, 河東, C組
無双丨王騎, 12, 7578454, 1645, 2602, 0, 34418404, 6947, 13443, 0, 18060, 河東, A組
海贼丨霸王, 6, 7513202, 0, 2349, 0, 41966262, 2794, 16809, 0, 17756, 河東, A組
魅力十足, 132, 7507474, 0, 350, 0, 33670248, 0, 6824, 0, 17080, 河東, B組
聚丨程堯, 28, 7441537, 0, 1886, 0, 26103878, 316, 13119, 0, 17680, 河東, 九關門神
Foden, 18, 7231019, 0, 2406, 0, 33701118, 0, 13505, 0, 20336, 河東, C組
樂正小谷, 113, 7141631, 0, 2977, 0, 36627360, 0, 10513, 0, 19259, 河東, B組
呆腦獸, 71, 6905419, 0, 2361, 0, 29486156, 1588, 13199, 0, 19226, 河東, C組
老夫人, 25, 6878588, 0, 1616, 0, 37500623, 643, 11739, 0, 15010, 河東, C組
薪水不夠多, 96, 6832743, 0, 3126, 0, 17528102, 0, 11539, 0, 13833, 河東, B組
歐冶亭, 101, 6802838, 0, 2618, 0, 25795584, 0, 10554, 0, 16820, 河東, C組
蒙古包, 46, 6483332, 0, 3152, 0, 19860786, 786, 15504, 0, 17580, 河東, B組
宣颜, 44, 6450691, 0, 3068, 0, 46385197, 0, 15430, 0, 20550, 河東, C組
夜讀出師表, 72, 6444934, 0, 2256, 0, 25241677, 0, 13217, 0, 18059, 河東, 九關門神
飛鳥和蟬, 19, 6432829, 0, 1491, 0, 26111870, 36, 12403, 0, 18510, 河東, B組
