成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬勢力, 分組
默丨箱神, 1, 13811106, 100132, 50, 0, 605094533, 5571108, 204409, 337616, 41290, 官渡, 河內
BusDriver, 4, 29316513, 69267, 650, 0, 529254842, 4209266, 163205, 80320, 34448, 官渡, 官渡右
海賊丨陳教授, 2, 8408054, 27742, 4742, 0, 542989275, 4156484, 86062, 41502, 36390, 官渡, 官渡右
菩提丿, 3, 23992525, 13949, 0, 0, 670236100, 4098294, 65056, 147435, 38150, 官渡, 官渡右
RyanLo, 5, 31372738, 78946, 0, 0, 1036982765, 3710791, 137624, 51118, 39250, 官渡, 官渡右
農夫阿融, 7, 3510975, 55824, 4178, 0, 413305436, 3628145, 126765, 40805, 31224, 官渡, 門神
海賊丨襄吉士, 9, 25314736, 8086, 1380, 0, 450947370, 3093929, 138781, 115509, 28273, 官渡, 官渡左
十年河東, 10, 3508377, 51882, 7841, 0, 288565504, 3083744, 116187, 0, 28500, 官渡, 官渡左
海賊丨ALO, 6, 2804940, 56113, 350, 0, 301211861, 3012798, 55962, 40396, 30763, 官渡, 官渡左
雷電道長, 8, 5815801, 36479, 0, 0, 521147179, 2982513, 53364, 138674, 35213, 官渡, 官渡右
狼丨秦夏, 12, 840402, 16814, 0, 0, 379850149, 2918034, 85492, 288161, 32800, 官渡, 官渡右
酒丨浩, 21, 4678028, 49986, 100, 0, 429618367, 2819255, 59419, 122338, 36883, 官渡, 官渡右
BenEX, 11, 7423275, 26992, 0, 0, 316439399, 2783318, 51732, 0, 33280, 河內, 河內
海賊IOO, 14, 2318229, 28084, 792, 0, 345020494, 2567535, 171406, 2365578, 35080, 官渡, 官渡右
丨柳丁丨, 19, 14346136, 75594, 0, 562272, 487042114, 2475986, 104288, 8733301, 37543, 河內, 官渡右
默丨菲斯托, 13, 11742253, 49076, 0, 0, 537067925, 2474631, 126366, 133925, 28373, 官渡, 門神
RyuZ, 18, 1610862, 9065, 0, 0, 308222191, 2436654, 49006, 33296, 34600, 河內, 河內
為哥哥, 40, 4198693, 83659, 0, 0, 327514714, 2409205, 145476, 2002428, 31806, 官渡, 官渡左
公羊冒, 15, 11563180, 16945, 0, 0, 1099955705, 2408226, 126077, 27353, 39923, 官渡, 官渡左
