成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬勢力, 分組
豚君丨陸仟, 12, 15837394, 13034, 941, 0, 397812649, 2696995, 117761, 3938713, 37615, 淮陽, 資州二
豚君丨M小魚, 3, 25746098, 68057, 0, 0, 852558378, 4054244, 10768, 1012498, 44730, 淮陽, 未分組
敖凜風, 35, 6846252, 26055, 400, 0, 439494521, 1590196, 87302, 12595851, 36443, 淮陽, 出生一
豚君丨麥菜, 8, 6539723, 95822, 366, 0, 390193860, 3016256, 7582, 496308, 36819, 淮陽, 未分組
龍潭鮮肉包, 13, 6453923, 26767, 2100, 0, 432882421, 2831572, 129126, 473794, 33639, 河南, 資州一
司馬丨洛神, 62, 6028138, 0, 0, 0, 251232213, 1047084, 53619, 628415, 27810, 河南, 資州一
洛比貓丨喵踢, 11, 5064132, 25632, 2020, 0, 395341306, 2580354, 151324, 207001, 33593, 河南, 出生一
豚君丨麥西, 59, 3228014, 31399, 0, 0, 179699661, 1406702, 72014, 1520900, 30302, 淮陽, 出生一
凸凸, 26, 1548025, 30803, 0, 0, 189684783, 1940460, 90169, 809029, 22063, 淮陽, 出生一
天地丨李氏, 57, 1388717, 27581, 0, 0, 231852335, 1551333, 64578, 3596086, 25730, 河南, 資州一
查無此人, 2, 26192786, 41440, 840, 0, 864392245, 5140666, 186871, 566999, 39540, 河南, 資州一
豚君丨柒仟, 5, 16216430, 58836, 0, 0, 587945456, 3484754, 15071, 1196924, 37523, 淮陽, 未分組
老天爺, 49, 12539062, 17107, 0, 0, 510008126, 1439923, 117726, 3275329, 34010, 河南, 資州一
漢將, 17, 11123623, 12814, 0, 0, 294633194, 2140744, 56771, 283472, 31280, 河南, 資州一
雲來俠客, 30, 10868725, 1917, 0, 0, 367594342, 1550877, 53003, 1153064, 24288, 河南, 資州一
JAY, 112, 10730092, 12372, 0, 0, 236935337, 616386, 73374, 39550732, 28245, 河南, 資州二
熱河魔獸, 77, 10149705, 10210, 0, 0, 296433518, 937120, 134370, 19882939, 29950, 河南, 資州二
戶次鑑連, 6, 9831212, 61709, 350, 0, 741447354, 3470795, 1826, 874770, 36071, 淮陽, 未分組
湘南槿桃, 42, 7518714, 6287, 120, 0, 370579866, 1381154, 155593, 6642809, 33916, 河南, 資州一
豚君丨麥岔, 4, 7477370, 92924, 2593, 0, 650015615, 4720396, 100677, 409205, 34814, 淮陽, 出生一
半步釘, 10, 7360566, 45478, 0, 0, 650494693, 2726511, 136242, 513712, 35396, 河南, 資州一
Fesyen, 55, 7179419, 44635, 7483, 0, 257739159, 1879664, 153469, 848621, 33104, 河南, 資州一
必日刘亦菲, 149, 6561568, 7552, 0, 0, 216338349, 417168, 2200, 0, 25786, 淮陽, 出生二
薛, 16, 6319542, 31475, 0, 0, 362574552, 2025432, 167967, 2088288, 33195, 淮陽, 出生一
馬頭圍頭馬, 114, 5898155, 10911, 0, 0, 374081080, 646875, 90464, 9405486, 37893, 河南, 資州二
喜多郁代, 46, 5821804, 26855, 0, 0, 327582551, 1519853, 49841, 603098, 29850, 河南, 資州一
miku, 45, 5655160, 9953, 0, 0, 295135368, 1416713, 44782, 2528116, 25855, 河南, 資州一
豚君丨小安安, 72, 5475007, 15226, 500, 0, 313358577, 1024462, 185703, 1923008, 29251, 河南, 資州一
言永日青, 65, 5445689, 7670, 0, 0, 313741563, 1431953, 39577, 658522, 30932, 河南, 資州一
宮水ミツバ, 33, 5083775, 4764, 900, 0, 325065740, 1707224, 78267, 1053135, 40519, 淮陽, 出生一
毛家五條悟, 1, 4807675, 91891, 230, 0, 497663088, 5826463, 44710, 321023, 31663, 淮陽, 資州一
溫泉蛋, 93, 4533567, 7377, 0, 0, 160964430, 776992, 101628, 3131945, 22375, 河南, 資州二
影, 187, 4339185, 2446, 0, 0, 39966821, 26506, 2170, 0, 31708, 淮陽, 未分組
肥兔哦丶, 34, 4276544, 29034, 0, 0, 376920050, 1547517, 103118, 1197312, 24507, 河南, 資州一
九方夏云, 71, 4170174, 0, 0, 0, 214601190, 1197712, 71375, 1887927, 25890, 河南, 資州一
南宮, 143, 4028050, 0, 0, 0, 224287119, 417560, 27430, 232952, 21633, 河南, 出生二
皇叔刘, 83, 3815342, 23377, 2547, 0, 164098831, 1101710, 51239, 1215098, 32861, 河南, 資州二
渣奇, 19, 3803220, 42680, 121, 0, 374723469, 2079595, 38164, 363676, 28508, 河南, 資州一
必日刘亦菲b, 163, 3606384, 1480, 0, 0, 177236926, 328959, 5336, 0, 21715, 淮陽, 出生二
柳神周君, 60, 3488926, 31336, 51, 0, 403412336, 1344159, 111595, 3878122, 31960, 淮陽, 出生一
小魚龖龘, 79, 3377253, 7171, 35, 0, 221267415, 1112278, 51723, 287161, 28832, 河南, 資州一
小惠, 151, 3287128, 0, 0, 0, 189181653, 275913, 66401, 58394458, 27538, 淮陽, 出生二
諸柏, 158, 3233057, 4300, 1100, 0, 244409118, 305958, 40182, 37804415, 34633, 河南, 睡著了
高山流水, 36, 3214425, 1521, 0, 6705584, 355958596, 1624116, 82460, 57904842, 35520, 淮陽, 資州一
星期三上悠亞, 100, 3133604, 1891, 0, 0, 119050395, 613853, 150990, 1636214, 20891, 淮陽, 出生二
馮御, 157, 3025993, 6077, 0, 0, 136223446, 314808, 19434, 830499, 21631, 淮陽, 出生二
月讀, 91, 2868064, 0, 0, 0, 149441230, 800631, 73833, 185318, 29809, 河南, 資州二
Crayon, 18, 2765656, 54589, 3273, 0, 281308879, 2089336, 108444, 681867, 28383, 淮陽, 出生一
紀靖琪, 23, 2587293, 34410, 89, 0, 300271945, 1986544, 149956, 1002013, 33526, 河南, 資州一
金正丨軒, 75, 2506767, 31060, 2030, 0, 128587554, 1114403, 75428, 664796, 22872, 淮陽, 資州二
老B都看到拉, 56, 2448260, 44229, 0, 0, 224924564, 1549272, 34442, 1283399, 16743, 河南, 資州一
陳火爐, 7, 2417090, 48237, 346, 0, 379734008, 3217351, 75146, 456141, 38673, 淮陽, 資州一
鄭国古月小子, 178, 2379550, 1383, 0, 0, 94941619, 127586, 23692, 2243033, 24800, 河南, 睡著了
輝丨細菌, 28, 2361470, 47017, 35, 0, 525881742, 1733660, 120158, 2309872, 29433, 淮陽, 出生一
别打, 177, 2292009, 0, 0, 0, 65146463, 148121, 4403, 6676917, 19237, 淮陽, 出生二
高梁, 105, 2275566, 12663, 700, 0, 214423608, 729438, 3530, 1902896, 24170, 河南, 資州二
豚君丨玖, 31, 2219838, 13740, 200, 0, 253260556, 1565335, 82560, 6862099, 28067, 河南, 資州一
小曲, 52, 2185933, 4694, 0, 0, 281041338, 1473741, 64168, 1527655, 29953, 河南, 資州二
魏衍公明, 86, 2105695, 8234, 0, 0, 232131577, 1032779, 55835, 2200593, 33540, 河南, 資州一
腳踝終結者, 41, 2101224, 12046, 0, 0, 232452745, 1451805, 61363, 1451393, 28173, 河南, 資州一
少一隻, 92, 2074218, 21291, 0, 0, 231691750, 752584, 159593, 926088, 34296, 淮陽, 資州二
飛豚君, 103, 2017816, 2784, 0, 0, 177245596, 890116, 36878, 22077267, 18528, 淮陽, 出生一
加落排, 98, 1873139, 27126, 0, 0, 213639319, 925066, 26728, 833795, 19146, 河南, 資州二
肥尸大隻, 192, 1853034, 0, 0, 0, 20719403, 0, 0, 0, 26893, 淮陽, 未分組
寒丨冬戰士, 104, 1845442, 10101, 0, 0, 326697366, 651349, 70537, 1946292, 25243, 河南, 資州二
獨步古今, 169, 1689781, 11259, 0, 0, 62292579, 264736, 11241, 23526540, 18641, 河南, 睡著了
富怡, 47, 1667706, 33196, 113, 0, 287359311, 1483112, 106879, 683520, 31594, 淮陽, 出生一
殷若塵, 76, 1650619, 32955, 1050, 0, 230412047, 1346107, 73190, 3044345, 36728, 淮陽, 出生一
必日刘亦菲a, 168, 1557673, 5976, 0, 0, 181180992, 283361, 8701, 0, 24716, 淮陽, 出生二
土豆仁, 32, 1542986, 12813, 370, 0, 275961965, 1832001, 155557, 807549, 34976, 河南, 資州一
呂曼云, 145, 1515260, 10358, 770, 0, 83707541, 381316, 27799, 757686, 23460, 淮陽, 出生二
太公不, 120, 1499680, 12911, 350, 0, 211444383, 640417, 18546, 752159, 20740, 河南, 資州二
盧比少爺, 123, 1495240, 4983, 0, 0, 159464665, 520815, 104388, 4445264, 26869, 淮陽, 出生二
可愛の倉鼠, 90, 1488321, 20247, 0, 0, 136306327, 991702, 18257, 376425, 26616, 淮陽, 出生一
豚君丨歐膩, 21, 1472974, 20470, 0, 0, 312166530, 2041640, 149318, 4028751, 28851, 淮陽, 出生一
無双丨您大爺, 29, 1403485, 27821, 85, 0, 246499037, 1969348, 78597, 1860115, 28693, 河南, 資州一
峰峰睡飽沒, 88, 1346788, 13108, 0, 0, 146380247, 1060491, 36904, 211796, 25926, 河南, 資州二
阿抽, 44, 1324008, 2774, 0, 0, 224124222, 1292466, 143417, 22704900, 30810, 河南, 資州一
